algoritmo - algoritmo
declare - declare
i - identificador
, - ,
valor - identificador
, - ,
soma - identificador
: - :
inteiro - inteiro
leia - leia
( - (
valor - identificador
) - )
soma - identificador
<- - <-
0 - numero_inteiro
para - para
i - identificador
<- - <-
1 - numero_inteiro
ate - ate
valor - identificador
/ - /
2 - numero_inteiro
faca - faca
se - se
valor - identificador
% - %
i - identificador
= - =
0 - numero_inteiro
entao - entao
soma - identificador
<- - <-
soma - identificador
+ - +
i - identificador
fim_se - fim_se
fim_para - fim_para
se - se
soma - identificador
= - =
valor - identificador
e - e
valor - identificador
<> - <>
0 - numero_inteiro
entao - entao
escreva - escreva
( - (
valor - identificador
, - ,
"eh um numero perfeito" - cadeia_literal
) - )
senao - senao
escreva - escreva
( - (
valor - identificador
, - ,
"nao eh um numero perfeito" - cadeia_literal
) - )
fim_se - fim_se
fim_algoritmo - fim_algoritmo
